Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
quiz_s1scene1_1085057a	s	[question] Вставьте пропущенное слово.	game/quiz.rpy	104	s "[what]" nointeract
quiz_s1scene1_71e8e196	s	[right_answer]	game/quiz.rpy	108	s "[what]"
quiz_s1scene1_bfbe54c9	s	[wrong_answer]	game/quiz.rpy	110	s "[what]"
quiz_s1scene1_71e8e196_1	s	[right_answer]	game/quiz.rpy	114	s "[what]"
quiz_s1scene1_bfbe54c9_1	s	[wrong_answer]	game/quiz.rpy	116	s "[what]"
quiz_s1scene1_71e8e196_2	s	[right_answer]	game/quiz.rpy	120	s "[what]"
quiz_s1scene1_bfbe54c9_2	s	[wrong_answer]	game/quiz.rpy	122	s "[what]"
quiz_s1scene1_opportunities_15338854	s	Переведи слово 'возможности'.	game/quiz.rpy	130	s "[what]" nointeract
quiz_s1scene1_opportunities_71e8e196	s	[right_answer]	game/quiz.rpy	133	s "[what]"
quiz_s1scene1_opportunities_bfbe54c9	s	[wrong_answer]	game/quiz.rpy	135	s "[what]"
quiz_s1scene1_opportunities_71e8e196_1	s	[right_answer]	game/quiz.rpy	139	s "[what]"
quiz_s1scene1_opportunities_bfbe54c9_1	s	[wrong_answer]	game/quiz.rpy	141	s "[what]"
quiz_s1scene1_announce_94b9fad2	s	Переведи слово '[question]'.	game/quiz.rpy	149	s "[what]" nointeract
quiz_s1scene1_announce_bfbe54c9	s	[wrong_answer]	game/quiz.rpy	152	s "[what]"
quiz_s1scene1_announce_71e8e196	s	[right_answer]	game/quiz.rpy	155	s "[what]"
quiz_s1scene1_announce_bfbe54c9_1	s	[wrong_answer]	game/quiz.rpy	158	s "[what]"
quiz_s1scene1_sentence_strange_abb2f166	s	Переведи предложение 'Разве это нестранно?'	game/quiz.rpy	167	s "[what]" nointeract
quiz_s1scene1_sentence_strange_71e8e196	s	[right_answer]	game/quiz.rpy	171	s "[what]"
quiz_s1scene1_sentence_strange_bfbe54c9	s	[wrong_answer]	game/quiz.rpy	173	s "[what]"
quiz_s1scene1_sentence_strange_71e8e196_1	s	[right_answer]	game/quiz.rpy	177	s "[what]"
